what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1470656515979
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1470656515979
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1470656515980
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1470656515982
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1470656515996
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1470656515997
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1470656516021
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1470656516022
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1470656516044
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1470656516045
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1470656516069
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1470656516071
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1470656516072
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1470656516073
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1470656516074
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1470656516074
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1470656516075
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1470656516076
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1470656516077
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1470656516078
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1470656516078
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1470656516093
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1470656516097
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1470656516110
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1470656516110
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1470656516112
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1470656516113
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1470656516114
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1470656516114
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1470656516114
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1470656516115
started,bundle,com.python.pydev.analysis,2.5.0.2012040618,"com.python.pydev.analysis",1470656516139
started,bundle,oracle.eclipse.tools.adf.dtrt,4.3.1.201209271754,"oracle.eclipse.tools.adf.dtrt",1470656516140
started,bundle,oracle.eclipse.tools.adf.view.ui,4.3.1.201209271754,"oracle.eclipse.tools.adf.view.ui",1470656516200
started,bundle,oracle.eclipse.tools.common,4.3.1.201209271754,"oracle.eclipse.tools.common",1470656516200
started,bundle,oracle.eclipse.tools.common.services,4.3.1.201209271754,"oracle.eclipse.tools.common.services",1470656516201
started,bundle,oracle.eclipse.tools.common.services.ui,4.3.1.201209271754,"oracle.eclipse.tools.common.services.ui",1470656516202
started,bundle,oracle.eclipse.tools.common.ui,4.3.1.201209271754,"oracle.eclipse.tools.common.ui",1470656516202
started,bundle,oracle.eclipse.tools.common.upgrade,4.3.1.201209271754,"oracle.eclipse.tools.common.upgrade",1470656516203
started,bundle,oracle.eclipse.tools.orm,4.3.1.201209271754,"oracle.eclipse.tools.orm",1470656516203
started,bundle,oracle.eclipse.tools.spring,4.3.1.201209271754,"oracle.eclipse.tools.spring",1470656516204
started,bundle,oracle.eclipse.tools.webtier.ui,4.3.1.201209271754,"oracle.eclipse.tools.webtier.ui",1470656516205
started,bundle,org.python.pydev,2.5.0.2012040618,"org.python.pydev",1470656516205
started,bundle,org.python.pydev.core,2.5.0.2012040618,"org.python.pydev.core",1470656516224
started,bundle,org.springframework.ide.eclipse.beans.ui,2.9.2.201205070117-RELEASE,"org.springframework.ide.eclipse.beans.ui",1470656516226
started,bundle,org.springframework.ide.eclipse.core,2.9.2.201205070117-RELEASE,"org.springframework.ide.eclipse.core",1470656516247
os,sysinfo,,,"win32",1470656516255
arch,sysinfo,,,"x86",1470656516255
ws,sysinfo,,,"win32",1470656516255
locale,sysinfo,,,"es_CO",1470656516255
processors,sysinfo,,,"1",1470656516255
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1470656516255
java.runtime.version,sysinfo,,,"1.8.0_25-b18",1470656516255
java.specification.name,sysinfo,,,"Java Platform API Specification",1470656516255
java.specification.vendor,sysinfo,,,"Oracle Corporation",1470656516255
java.specification.version,sysinfo,,,"1.8",1470656516255
java.vendor,sysinfo,,,"Oracle Corporation",1470656516255
java.version,sysinfo,,,"1.8.0_25",1470656516255
java.vm.info,sysinfo,,,"mixed mode",1470656516255
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1470656516255
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1470656516255
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1470656516255
java.vm.specification.version,sysinfo,,,"1.8",1470656516255
java.vm.vendor,sysinfo,,,"Oracle Corporation",1470656516255
java.vm.version,sysinfo,,,"25.25-b02",1470656516255
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1470656516742
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1470656516812
started,bundle,oracle.eclipse.tools.weblogic,4.3.1.201209271754,"oracle.eclipse.tools.weblogic",1470656516929
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1470656517087
started,bundle,org.eclipse.jst.server.core,1.2.202.v20110419,"org.eclipse.jst.server.core",1470656517174
started,bundle,oracle.eclipse.tools.xmlbeans,4.3.1.201209271754,"oracle.eclipse.tools.xmlbeans",1470656517365
started,bundle,org.eclipse.sapphire.ui,0.5.3.201209191432,"org.eclipse.sapphire.ui",1470656517527
started,bundle,org.eclipse.sapphire.modeling,0.5.3.201209191432,"org.eclipse.sapphire.modeling",1470656517575
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1470656517869
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1470656517870
started,bundle,oracle.eclipse.tools.weblogic.ui,4.3.1.201209271754,"oracle.eclipse.tools.weblogic.ui",1470656518341
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1470656518399
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1470656518594
started,bundle,oracle.eclipse.tools.glassfish,4.2.1.201201241947,"oracle.eclipse.tools.glassfish",1470656518595
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1470656518596
started,bundle,oracle.eclipse.tools.webservices.ui,4.3.1.201209271754,"oracle.eclipse.tools.webservices.ui",1470656518673
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1470656518775
started,bundle,oracle.eclipse.tools.envcheck,4.3.1.201209271754,"oracle.eclipse.tools.envcheck",1470656519094
started,bundle,oracle.eclipse.tools.spring.ui,4.3.1.201209271754,"oracle.eclipse.tools.spring.ui",1470656519246
started,bundle,oracle.eclipse.tools.application.common.services,4.3.1.201209271754,"oracle.eclipse.tools.application.common.services",1470656519316
started,bundle,org.springframework.ide.eclipse.uaa,2.9.2.201205070117-RELEASE,"org.springframework.ide.eclipse.uaa",1470656520507
started,bundle,org.eclipse.wb.core.lib,1.6.0.r36x201305211944,"org.eclipse.wb.core.lib",1470656520818
started,bundle,org.eclipse.wb.core,1.6.0.r36x201305211944,"org.eclipse.wb.core",1470656521493
started,bundle,org.eclipse.wb.core.java,1.6.0.r36x201305211947,"org.eclipse.wb.core.java",1470656521521
started,bundle,com.google.gdt.eclipse.designer,3.1.2.r36x201305212009,"com.google.gdt.eclipse.designer",1470656521660
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1470656521894
started,bundle,com.google.gdt.eclipse.designer.GXT,3.1.2.r36x201305212016,"com.google.gdt.eclipse.designer.GXT",1470656521895
started,bundle,com.google.gdt.eclipse.designer.SmartGWT,3.1.2.r36x201305212016,"com.google.gdt.eclipse.designer.SmartGWT",1470656521896
started,bundle,com.google.gdt.eclipse.designer.UiBinder,3.1.2.r36x201305212009,"com.google.gdt.eclipse.designer.UiBinder",1470656521919
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1470656537140
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.v20110928-1505,"org.eclipse.ui.views.properties.tabbed",1470656537240
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1470656537326
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1470656537364
started,bundle,org.eclipse.jst.jsf.common.ui,1.2.100.v201104061711,"org.eclipse.jst.jsf.common.ui",1470656537380
started,bundle,org.eclipse.jst.pagedesigner,1.3.103.v201109010833-p001,"org.eclipse.jst.pagedesigner",1470656537394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470656561743
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470656576363
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1470656576396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470656578062
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470656581222
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470656581430
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1470656582510
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1470656582521
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1470656582831
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1470656582836
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1470656583331
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1470656583336
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1470656583369
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1470656583376
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1470656583409
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1470656583472
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1470656583481
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1470656583481
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1470656583496
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1470656583508
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1470656583509
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1470656583554
